id,value
Brands.MI.uttar pradesh.Go 1-16,1
Brands.MI.uttar pradesh.MI 3 64GB,1
Brands.MI.uttar pradesh.MI 4A PRO,1
Brands.MI.uttar pradesh.MI 5 32GB LTE NFC,1
Brands.MI.uttar pradesh.Mi A3 4-64,3
Brands.MI.uttar pradesh.MI3,1
Brands.MI.uttar pradesh.MI4,1
Brands.MI.uttar pradesh.note 7 pro 4-64,1
Brands.MI.uttar pradesh.redme 7 s 3-32,4
Brands.MI.uttar pradesh.redme 7 s 3-32,1
Brands.MI.uttar pradesh.Redmi 5,1
Brands.MI.uttar pradesh.REDMI 5 32GB DUAL LTE,1
Brands.MI.uttar pradesh.REDMI 6A 16GB LTE,2
Brands.MI.uttar pradesh.Redmi 7,1
Brands.MI.uttar pradesh.REDMI 7 2-32,1
Brands.MI.uttar pradesh.Redmi 7 3-32,1
Brands.MI.uttar pradesh.REDMI 7A,4
Brands.MI.uttar pradesh.REDMI GO,4
Brands.MI.uttar pradesh.REDMI NOTE 4 64GB,1
Brands.MI.uttar pradesh.Redmi note7s 4-64,2
Brands.MI.uttar pradesh.REDMI Y1 64GB,1
Brands.MI.uttar pradesh.Redmi Y3,1
Brands.MI.uttar pradesh.Y2,2
Brands.MI.West Bengal,
Brands.MI.West Bengal.6A,4
Brands.MI.West Bengal.Go 1-16,1
Brands.MI.West Bengal.NOTE 7 PRO,2
Brands.MI.West Bengal.note 7 pro 4-64,1
Brands.MI.West Bengal.redme 7 s 3-32,1
Brands.MI.West Bengal.redme 7a blue,3
Brands.MI.West Bengal.REDME NOTE 7 S 3-32,1
Brands.MI.West Bengal.redme note 7s 4-64,3
Brands.MI.West Bengal.REDMI 6 64GB 3GB LTE,1
Brands.MI.West Bengal.REDMI 6A 32GB 2GB,1
Brands.MI.West Bengal.Redmi 7,4
Brands.MI.West Bengal.REDMI 7 2-32,2
Brands.MI.West Bengal.REDMI 7A,4
Brands.MI.West Bengal.Redmi 7A 2+16,1
Brands.MI.West Bengal.REDMI GO,1
Brands.MI.West Bengal.Redmi Note 4,1
Brands.MI.West Bengal.REDMI note 7 pro,1
Brands.MI.West Bengal.Redmi note7s 4-64,2
Brands.MI.West Bengal.REDMI Y2  3GB-32GB,3
Brands.MI.West Bengal.REDMI Y2 64GB,9
Brands.MI.West Bengal.Redmi Y3,4
Brands.NOKIA,
Brands.NOKIA.andhra pradesh,
Brands.NOKIA.andhra pradesh.105,2
Brands.NOKIA.andhra pradesh.1100,1
Brands.NOKIA.andhra pradesh.1200,2
Brands.NOKIA.Assam & North East,
Brands.NOKIA.Assam & North East.105,2
Brands.NOKIA.delhi,
Brands.NOKIA.delhi.105,12
Brands.NOKIA.delhi.106,4
Brands.NOKIA.Gujarat,
Brands.NOKIA.Gujarat.105,1
Brands.NOKIA.haryana,
Brands.NOKIA.haryana.105,5
Brands.NOKIA.karnataka,
Brands.NOKIA.karnataka.105,2
Brands.NOKIA.karnataka.asha 503,1
Brands.NOKIA.kerala,
Brands.NOKIA.kerala.103,7
Brands.NOKIA.kerala.105,24
Brands.NOKIA.kerala.106,3
Brands.NOKIA.kerala.130,2
Brands.NOKIA.kerala.150,3
Brands.NOKIA.Madhya Pradesh,
Brands.NOKIA.Madhya Pradesh.105,2
Brands.NOKIA.maharashtra,
Brands.NOKIA.maharashtra.105,3
Brands.NOKIA.maharashtra.106,2
Brands.NOKIA.orissa,
Brands.NOKIA.orissa.105,2
Brands.NOKIA.orissa.150,1
Brands.NOKIA.punjab,
Brands.NOKIA.punjab.105,2
Brands.NOKIA.punjab.106,2
Brands.NOKIA.rajasthan,
Brands.NOKIA.rajasthan.105,3
Brands.NOKIA.rajasthan.106,1
Brands.NOKIA.rajasthan.130,1
Brands.NOKIA.rajasthan.222,1
Brands.NOKIA.rajasthan.3310,1
Brands.NOKIA.tamil nadu,
Brands.NOKIA.tamil nadu.100,1
Brands.NOKIA.tamil nadu.105,3
Brands.NOKIA.tamil nadu.1200,2
Brands.NOKIA.tamil nadu.3310,1
Brands.NOKIA.Tamil Nadu-Pondicherry,
Brands.NOKIA.Tamil Nadu-Pondicherry.105,3
Brands.NOKIA.uttar pradesh,
Brands.NOKIA.uttar pradesh.105,22
Brands.NOKIA.uttar pradesh.106,4
Brands.NOKIA.uttar pradesh.130,1
Brands.NOKIA.uttar pradesh.150,3
Brands.NOKIA.uttar pradesh.2 1 8GB DUAL LTE,1
Brands.NOKIA.uttar pradesh.3310,2
Brands.NOKIA.uttar pradesh.NOKIA 1,2
Brands.NOKIA.uttar pradesh.nokia 2 2,1
Brands.NOKIA.uttar pradesh.Nokia 6 1,2
Brands.NOKIA.West Bengal,
Brands.NOKIA.West Bengal.105,19
Brands.NOKIA.West Bengal.106,1
Brands.NOKIA.West Bengal.130,3
Brands.NOKIA.West Bengal.150,4
Brands.NOKIA.West Bengal.3310,1
Brands.Oppo,
Brands.Oppo.andhra pradesh,
Brands.Oppo.andhra pradesh.A3,6
Brands.Oppo.Assam & North East,
Brands.Oppo.Assam & North East.A1k,2
Brands.Oppo.Assam & North East.A5s,5
Brands.Oppo.Assam & North East.A5S(3-32),1
Brands.Oppo.Assam & North East.f11,1
Brands.Oppo.bihar,
Brands.Oppo.bihar.A3S 32GB DUAL LTE,2
Brands.Oppo.bihar.A5,3
Brands.Oppo.bihar.a53,2
Brands.Oppo.bihar.A5s,9
Brands.Oppo.bihar.A5s 4GB-64GB,1
Brands.Oppo.bihar.A5S(3-32),10
Brands.Oppo.bihar.A7,1
Brands.Oppo.bihar.A71 3GB-16GB,1
Brands.Oppo.bihar.F11 PRO,6
Brands.Oppo.bihar.f1s,10
Brands.Oppo.bihar.F5 YOUTH 3GB-32GB,1
Brands.Oppo.bihar.F9 PRO,1
Brands.Oppo.bihar.V5,1
Brands.Oppo.delhi,
Brands.Oppo.delhi.A1k,8
Brands.Oppo.delhi.A3S 3-32,1
Brands.Oppo.delhi.A5,1
Brands.Oppo.delhi.A5s,3
Brands.Oppo.delhi.A5s 2-32,1
Brands.Oppo.delhi.A5S 3GB-32GB,2
Brands.Oppo.delhi.A5S(3-32),1
Brands.Oppo.delhi.A7,1
Brands.Oppo.Gujarat,
Brands.Oppo.Gujarat.A1k,8
Brands.Oppo.Gujarat.A3S 3-32,1
Brands.Oppo.Gujarat.A5,1
Brands.Oppo.Gujarat.A5s,3
Brands.Oppo.Gujarat.A5s 2-32,1
Brands.Oppo.Gujarat.A5S 3GB-32GB,2
Brands.Oppo.Gujarat.A5S(3-32),1
Brands.Oppo.Gujarat.A7,1
Brands.Oppo.haryana,
Brands.Oppo.haryana.A5s,1
Brands.Oppo.himachal pradesh,
Brands.Oppo.himachal pradesh.A9,1
Brands.Oppo.himachal pradesh.oppoA1K,1
Brands.Oppo.karnataka,
Brands.Oppo.karnataka.A1k,3
Brands.Oppo.karnataka.A3,6
Brands.Oppo.karnataka.A5,1
Brands.Oppo.karnataka.A7,1
Brands.Oppo.karnataka.f 11 pro,1
Brands.Oppo.karnataka.F11 PRO,1
Brands.Oppo.karnataka.f9,1
Brands.Oppo.karnataka.neo 7,4
